non_toxicity_cats,family,scientific_name,non_toxicity,non_toxicity_dogs,toxicity_horses,toxicity_cats,clinical_signs,additional_common_names,toxic_principles,non_toxicity_horses,url,name,image_url,toxicity,toxicity_dogs
TRUE, Urticaceae, Pilea cadieri," Non-Toxic to Dogs, Non-Toxic to Cats",TRUE,FALSE,FALSE, , Watermelon Plant, ,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/aluminum-plant,Aluminum Plant,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
TRUE, Saxifragaceae, Heuchera sanguinea," Non-Toxic to Dogs, Non-Toxic to Cats, Non-Toxic to Horses",TRUE,FALSE,FALSE, ," Coral Bells, Heuchera", ,TRUE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/alumroot,Alumroot,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
TRUE, Brassicaceae, Alyssum spp.," Non-Toxic to Dogs, Non-Toxic to Cats, Non-Toxic to Horses",TRUE,FALSE,FALSE, , Alyssum varieties, ,TRUE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/alyssum,Alyssum,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
FALSE, Amaryllidaceae, Amaryllis sp.,null,FALSE,FALSE,TRUE," vomiting, depression, diarrhea, abdominal pain, hypersalivation, anorexia, tremors."," Many, including: Belladonna lily, Saint Joseph lily, Cape Belladonna, Naked Lady", Lycorine and others,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/amaryllis,Amaryllis,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/amaryllis-r.jpg?itok=thn_q8Y5," Toxic to Dogs, Toxic to Cats",TRUE
FALSE, Chenopodiaceae, Chenopodium botrys,null,FALSE,TRUE,TRUE," Vomiting, anorexia, depression"," Jerusalem Oak, Feather Geranium", Sesquiterpene lactones,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/ambrosia-mexicana,Ambrosia Mexicana,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/ambrosia-mexicana-r.jpg?itok=Mqy9Lq0f," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
FALSE, Celastraceae, Celastrus scandens,null,FALSE,TRUE,TRUE," weakness, convulsions, gastroenteritis (vomiting, diarrhea)"," Bittersweet, Waxwork, Shrubby Bittersweet, False Bittersweet, Climbing Bittersweet", May contain euonymin and sesquiterpene alkaloids,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/american-bittersweet,American Bittersweet,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/american-bittersweet-r.jpg?itok=K-7x7p2u," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
FALSE, Aquifoliaceae, Ilex opaca,null,FALSE,TRUE,TRUE," Vomiting, diarrhea and depression. Leaves and berries are low toxicity."," English Holly, European Holly, Oregon Holly, Inkberry, Winterberry", saponins,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/american-holly,American Holly,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/english-holly-r.jpg?itok=5hjEx9q-," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
FALSE, Berberidaceae, Podophyllum peltatum,null,FALSE,TRUE,TRUE," Vomiting, diarrhea, lethargy, panting, coma (rare); dermal - redness, skin ulcers."," Mayapple, Indian Apple Root, Umbrella Leaf, Wild Lemon, Hog Apple, Duck's Foot, Raccoonberry", Podophyllin,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/american-mandrake,American Mandrake,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/americanmandrake.jpg?itok=-Bvmbwve," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
FALSE, Berberidaceae, Podophyllum peltatum,null,FALSE,TRUE,TRUE," Vomiting, diarrhea, lethargy, panting, coma (rare); dermal – redness, skin ulcers."," Mayapple, Indian Apple Root, Umbrella Leaf, Wild Lemon, Hog Apple, Duck's Foot, Raccoonberry", Podophyllin,FALSE,https://www.aspca.org//content/plant/american-mandrake,American Mandrake,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/americanmandrake.jpg?itok=-Bvmbwve," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
TRUE, Pipericeae, Peperomia obtusifolia," Non-Toxic to Dogs, Non-Toxic to Cats",TRUE,FALSE,FALSE, ," Pepper Face, Baby Rubber Plant", ,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/american-rubber-plant,American Rubber Plant,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
FALSE, Taxaceae, Taxus canidensus,null,FALSE,TRUE,TRUE," Tremors, difficulty breathing, vomiting, seizures (dogs), sudden death from acute heart failure.",null," Taxine A and B, Volatile oil",FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/american-yew,American Yew,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/japanese-yew-r.jpg?itok=xoes_oCs," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
TRUE, Aceraceae, Acer ginnala," Non-Toxic to Dogs, Non-Toxic to Cats",TRUE,FALSE,FALSE,null," Maple, Amur",null,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/amur-maple,Amur Maple,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/amur-maple-r.jpg?itok=hvqPOTm8,null,FALSE
FALSE, Ericaceae, Pieris japonica,null,FALSE,FALSE,TRUE," Vomiting, diarrhea, depression, cardiovascular collapse, hypersalivation, weakness, coma, low blood pressure, cardiovascular collapse and death. Ingestion of a few leaves can cause serious problems."," Pieris, Lily-of-the-Valley Bush", Grayanotoxins,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/andromeda-japonica,Andromeda Japonica,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/pieris-1-r.jpg?itok=X6pqkm6x," Toxic to Dogs, Toxic to Cats",TRUE
FALSE, Araliaceae, Aralia spinosa,null,FALSE,TRUE,TRUE," Skin and oral irritation, hypersalivation, vomiting, diarrhea"," Hercules' Club, Devil's Walking Stick, Prickly Ash, Prickly Elder", Araliin,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/angelica-tree,Angelica Tree,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/angelica-tree-r.jpg?itok=wC1hxI6W," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
TRUE, Liliaceae, Chlorophytum comosum," Non-Toxic to Dogs, Non-Toxic to Cats",TRUE,FALSE,FALSE, ," Ribbon Plant, Spider Plant, Spider Ivy", ,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/anthericum-comosum,Anthericum Comosum,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
TRUE, Scrophulariaceae, Antirrhinum multiflorum," Non-Toxic to Dogs, Non-Toxic to Cats, Non-Toxic to Horses",TRUE,FALSE,FALSE, , Withered Snapdragon, ,TRUE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/antirrhinum-multiflorum,Antirrhinum Multiflorum,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
TRUE, Scrophulariaceae, Antirrhinum glandulosum," Non-Toxic to Dogs, Non-Toxic to Cats, Non-Toxic to Horses",TRUE,FALSE,FALSE, , Withered Snapdragon, ,TRUE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/antirrhinum-multiflorum-0,Antirrhinum Multiflorum,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
FALSE, Rosaceae, Malus sylvestrus,null,FALSE,TRUE,TRUE," Stems, leaves, seeds contain cyanide, particularly toxic in the process of wilting: brick red mucous membranes, dilated pupils, difficulty breathing, panting, shock.", Includes crabapples, Cyanogenic glycosides,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/apple,Apple,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/apple-r.jpg?itok=Fvvtk3yj," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
FALSE, Rosaceae, Prunus armeniaca,null,FALSE,TRUE,TRUE," Stems, leaves, seeds contain cyanide, particularly toxic in the process of wilting: brick red mucous membranes, dilated pupils, difficulty breathing, panting, shock."," Group also includes Plum, Peach, Cherry", Cyanogenic glycosides found in some species,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/apricot,Apricot,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/apricot-r.jpg?itok=0DhmVE42," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
TRUE, , Exacum affine," Non-Toxic to Dogs, Non-Toxic to Cats",TRUE,FALSE,FALSE, ," Persian Violet, German Violet", ,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/arabian-gentian,Arabian Gentian,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
TRUE, Palmae, Dypsis lutescens," Non-Toxic to Dogs, Non-Toxic to Cats",TRUE,FALSE,FALSE,null," Golden Butterfly Palm, Cane Palm, Golden Feather Palm, Yellow Palm",null,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/areca-palm,Areca Palm,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/imageunavailable_0.jpg?itok=Vvd3ZEQt,null,FALSE
TRUE, Bromiliaceae, Neoregalia spp.," Non-Toxic to Dogs, Non-Toxic to Cats",TRUE,FALSE,FALSE, ," Crimson cup, Marbled fingernail,Blushing bromeliad, Ossifragi Vase, Miniature Marble plant", ,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/aregelia,Aregelia,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
FALSE, Araceae, Syngonium podophyllum,null,FALSE,FALSE,TRUE," Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing."," Nephthytis, Green Gold Naphthysis, African Evergreen, Trileaf Wonder", Insoluble calcium oxalates,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/arrow-head-vine,Arrow-Head Vine,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/arrow-head-vine-r.jpg?itok=JRFWHUqt," Toxic to Dogs, Toxic to Cats",TRUE
TRUE, Urticaceae, Pilea microphylla," Non-Toxic to Dogs, Non-Toxic to Cats, Non-Toxic to Horses",TRUE,FALSE,FALSE, , , ,TRUE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/artillery-plant,Artillery Plant,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
FALSE, Araceae, Arum maculatum,null,FALSE,TRUE,TRUE," Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing"," Cuckoo-pint, Lord-and-Ladies, Adam-and-Eve, Starch Root, Bobbins, Wake Robin", Insoluble calcium oxalates,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/arum,Arum,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/arum-r.jpg?itok=I6KyQVcY," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
FALSE, Araceae, Zantedeschia aethiopica,null,FALSE,FALSE,TRUE," Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing"," Calla Lily, Pig Lily, White Arum, Trumpet Lily, Florist's Calla, Garden Calla", Insoluble calcium oxalates,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/arum-lily,Arum Lily,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/arum-lily-r.jpg?itok=G6nxjK_3," Toxic to Dogs, Toxic to Cats",TRUE
FALSE, Liliaceae, Lilium asiatica,null,FALSE,FALSE,TRUE," Vomiting, inappetence, lethargy, kidney failure, and death is possible. Cats are only species known to be affected.", Asiatic Lily, Unknown,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/asian-lily,Asian Lily,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/asian-lily-2-r.jpg?itok=3SJiXqMp, Toxic to Cats,FALSE
FALSE, Liliaceae, Asparagus densiflorus cv sprengeri,null,FALSE,FALSE,TRUE," allergic dermatitis with repeated dermal exposure. Berry ingestion could result in gastric upset (vomiting, abdominal pain, or diarrhea.)"," Asparagus, Emerald Feather, Emerald Fern, Sprengeri Fern, Plumosa Fern, Lace Fern, Racemose Asparagus, Shatavari", Sapogenins,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/asparagus-fern,Asparagus Fern,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/asparagus-fern-r.jpg?itok=t-jWcv3E," Toxic to Dogs, Toxic to Cats",TRUE
TRUE, Polypodiaceae, Cyrtomium falcatum," Non-Toxic to Dogs, Non-Toxic to Cats",TRUE,FALSE,FALSE,null," Fern Holly, Japanese Holly, Fish Tail",null,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/aspidium-falcatum,Aspidium falcatum,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/fish-tail-fern-r.jpg?itok=8-9RC82C,null,FALSE
FALSE, Araliaceae, Brassaia actinophylla,null,FALSE,FALSE,TRUE," While this plant does contain potentially toxic substances, the most common effects seen are mild vomiting and diarrhea."," Schefflera, Umbrella Tree, Octopus Tree, Starleaf"," Terpenoids, saponins, insoluble oxalates",FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/australian-ivy-palm,Australian Ivy Palm,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/australian-ivy-palm-r.jpg?itok=3sh4iprI," Toxic to Dogs, Toxic to Cats",TRUE
FALSE, Proteaceae, Macadamia integrifolia,null,FALSE,FALSE,FALSE," Depression, hyperthermia, weakness, muscular stiffness, vomiting, tremors, increased heartrate. Only reported in dogs at this time."," Macadamia Nut, Queensland Nut", Unknown,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/australian-nut,Australian Nut,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/macadamia-nut-r.jpg?itok=NzjVmw5J, Toxic to Dogs,TRUE
FALSE, Araucariaceae, Araucaria heterophylla,null,FALSE,FALSE,TRUE," Vomiting, depression"," Norfolk Pine, House Pine, Norfolk Island Pine", Unknown,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/australian-pine,Australian Pine,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/australian-pine-r.jpg?itok=xSD4jAE8," Toxic to Dogs, Toxic to Cats",TRUE
FALSE, Liliaceae, Colchicum autumnale,null,FALSE,TRUE,TRUE," oral irritation, bloody vomiting, diarrhea, shock, multi-organ damage, bone marrow suppression.", Meadow Saffron, colchicine and other alkaloids,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/autumn-crocus,Autumn Crocus,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/autumn-crocus-r.jpg?itok=SJgRHkFo," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
TRUE, Elaeagnaceae, Elaeagnus sp.," Non-Toxic to Dogs, Non-Toxic to Cats, Non-Toxic to Horses",TRUE,FALSE,FALSE,null," Silver Berry, Russian Olive",null,TRUE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/autumn-olive,Autumn Olive,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/autumn-olive-r.jpg?itok=kRuEC1ji,null,FALSE
FALSE, Lauraceae, Persea americana,null,FALSE,TRUE,FALSE," Birds, rabbits, and some large animals are especially sensitive to avocados, as they can have respiratory distress, congestion, fluid accumulation around the heart, and even death from consuming avocado. While avocado is toxic to some animals, in dogs and cats, we do not expect to see serious signs of illness. In some dogs and cats, mild stomach upset may occur if the animal eats a significant amount of avocado flesh or peel. Ingestion of the pit can lead to obstruction in the gastrointestinal tract, which is a serious situation requiring urgent veterinary care. Avocado is sometimes included in pet foods for nutritional benefit. We would generally not expect avocado meal or oil present in commercial pet foods to pose a hazard to dogs and cats. ", Alligator Pear," Toxic to horses, cattle, goats, and birds. Avocado leaves, fruit, seeds and bark may contain a toxic principle known as persin. The Guatemalan variety, a common one found in stores, appears to be the most problematic. Other varieties of avocado can have different degrees of toxic potential.",FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/avocado,Avocado,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/avocado-r.jpg?itok=JZ7A0-5H, Toxic to Horses,FALSE
FALSE, Ericaceae, Rhododendron spp,null,FALSE,TRUE,TRUE," Vomiting, diarrhea, hypersalivation, weakness, coma, hypotension, CNS depression, cardiovascular collapse and death. Ingestion of a few leaves can cause serious problems. Rhododendron is typically not very palatable to horses unless it is the only forage available, but sheep and goats may graze readily on the plant. The toxic principle interferes with normal skeletal muscle, cardiac muscle and nerve function. Clinical effects typically occur within a few hours after ingestion, and can include acute digestive upset, excessive drooling, loss of appetite, frequent bowel movements/diarrhea, colic, depression, weakness, loss of coordination, stupor, leg paralysis, weak heart rate and recumbency for 2 or more days; at this point, improvement may be seen or the animal may become comatose and die."," Rosebay, Rhododendron", Grayantoxin,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/azalea,Azalea,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/azalea-r.jpg?itok=450nK4pc," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
FALSE, Agavaceae, Cordyline terminalis,null,FALSE,FALSE,TRUE," Vomiting (occasionally with blood), depression, anorexia, hypersalivation, dilated pupils (cats)"," Ti-Plant, Good-Luck Plant, Hawaiian Ti Plant", Saponins,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/baby-doll-ti-plant,Baby Doll Ti Plant,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/baby-doll-ti-plant-r.jpg?itok=Il2S0xKa," Toxic to Dogs, Toxic to Cats",TRUE
TRUE, Pipericeae, Peperomia obtusifolia," Non-Toxic to Dogs, Non-Toxic to Cats",TRUE,FALSE,FALSE, ," Pepper Face, American Rubber Plant", ,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/baby-rubber-plant,Baby Rubber Plant,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
FALSE, Caryophyllaceae, Gypsophila elegans,null,FALSE,FALSE,TRUE," Vomiting, diarrhea", Maidens Breath, Gyposenin,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/babys-breath,Baby’s Breath,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/babys-breath-r.jpg?itok=J37CJPSz," Toxic to Dogs, Toxic to Cats",TRUE
TRUE, Acanthaceae, Hypoestes phyllostachya," Non-Toxic to Dogs, Non-Toxic to Cats, Non-Toxic to Horses",TRUE,FALSE,FALSE," Mild vomiting, diarrhea"," Polka Dot Plant, Measles Plant, Flamingo Plant, Freckle Face, Pink Splash", Unknown,TRUE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/babys-tears,Baby’s Tears,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/babys-tears-r.jpg?itok=gKVHYRc3,null,FALSE
TRUE, Asteraceae, Centaurea cyanus," Non-Toxic to Dogs, Non-Toxic to Cats",TRUE,FALSE,FALSE,null," Cornflower, Bluebottle",null,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/bachelors-buttons,Bachelors Buttons,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/bluebottle-r.jpg?itok=T2L82S-S,null,FALSE
TRUE, Polypodiaceae, Davallia spp.," Non-Toxic to Dogs, Non-Toxic to Cats",TRUE,FALSE,FALSE, ," Rabbit's Foot Fern, Squirrel Foot Fern, Deer Foot Fern, Hare Fern", ,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/ball-fern,Ball Fern,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
TRUE, Gramineae, Phyllostachys aurea," Non-Toxic to Dogs, Non-Toxic to Cats, Non-Toxic to Horses",TRUE,FALSE,FALSE, ," Golden Bamboo, Fishpole Bamboo", ,TRUE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/bamboo,Bamboo,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
