name,sci_name,common_names,family,image_url,aspca_url,non_toxicity_cats,non_toxicity_dogs,non_toxicity_horses,clinical_signs
Aluminum Plant,Pilea cadieri,Watermelon Plant,Urticaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/aluminum-plant,TRUE,TRUE,FALSE,null
Alumroot,Heuchera sanguinea,"Coral Bells, Heuchera",Saxifragaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/alumroot,TRUE,TRUE,TRUE,null
Alyssum,Alyssum spp.,Alyssum varieties,Brassicaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/alyssum,TRUE,TRUE,TRUE,null
Amaryllis,Amaryllis sp.,"Many, including: Belladonna lily, Saint Joseph lily, Cape Belladonna, Naked Lady",Amaryllidaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/amaryllis-r.jpg?itok=thn_q8Y5,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/amaryllis,FALSE,FALSE,FALSE,"vomiting, depression, diarrhea, abdominal pain, hypersalivation, anorexia, tremors."
Ambrosia Mexicana,Chenopodium botrys,"Jerusalem Oak, Feather Geranium",Chenopodiaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/ambrosia-mexicana-r.jpg?itok=Mqy9Lq0f,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/ambrosia-mexicana,FALSE,FALSE,FALSE,"Vomiting, anorexia, depression"
American Bittersweet,Celastrus scandens,"Bittersweet, Waxwork, Shrubby Bittersweet, False Bittersweet, Climbing Bittersweet",Celastraceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/american-bittersweet-r.jpg?itok=K-7x7p2u,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/american-bittersweet,FALSE,FALSE,FALSE,"weakness, convulsions, gastroenteritis (vomiting, diarrhea)"
American Holly,Ilex opaca,"English Holly, European Holly, Oregon Holly, Inkberry, Winterberry",Aquifoliaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/english-holly-r.jpg?itok=5hjEx9q-,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/american-holly,FALSE,FALSE,FALSE,"Vomiting, diarrhea and depression. Leaves and berries are low toxicity."
American Mandrake,Podophyllum peltatum,"Mayapple, Indian Apple Root, Umbrella Leaf, Wild Lemon, Hog Apple, Duck's Foot, Raccoonberry",Berberidaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/americanmandrake.jpg?itok=-Bvmbwve,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/american-mandrake,FALSE,FALSE,FALSE,"Vomiting, diarrhea, lethargy, panting, coma (rare); dermal - redness, skin ulcers."
American Mandrake,Podophyllum peltatum,"Mayapple, Indian Apple Root, Umbrella Leaf, Wild Lemon, Hog Apple, Duck's Foot, Raccoonberry",Berberidaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/americanmandrake.jpg?itok=-Bvmbwve,https://www.aspca.org//content/plant/american-mandrake,FALSE,FALSE,FALSE,"Vomiting, diarrhea, lethargy, panting, coma (rare); dermal – redness, skin ulcers."
American Rubber Plant,Peperomia obtusifolia,"Pepper Face, Baby Rubber Plant",Pipericeae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/american-rubber-plant,TRUE,TRUE,FALSE,null
American Yew,Taxus canidensus,null,Taxaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/japanese-yew-r.jpg?itok=xoes_oCs,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/american-yew,FALSE,FALSE,FALSE,"Tremors, difficulty breathing, vomiting, seizures (dogs), sudden death from acute heart failure."
Amur Maple,Acer ginnala,"Maple, Amur",Aceraceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/amur-maple-r.jpg?itok=hvqPOTm8,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/amur-maple,TRUE,TRUE,FALSE,null
Andromeda Japonica,Pieris japonica,"Pieris, Lily-of-the-Valley Bush",Ericaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/pieris-1-r.jpg?itok=X6pqkm6x,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/andromeda-japonica,FALSE,FALSE,FALSE,"Vomiting, diarrhea, depression, cardiovascular collapse, hypersalivation, weakness, coma, low blood pressure, cardiovascular collapse and death. Ingestion of a few leaves can cause serious problems."
Angelica Tree,Aralia spinosa,"Hercules' Club, Devil's Walking Stick, Prickly Ash, Prickly Elder",Araliaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/angelica-tree-r.jpg?itok=wC1hxI6W,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/angelica-tree,FALSE,FALSE,FALSE,"Skin and oral irritation, hypersalivation, vomiting, diarrhea"
Anthericum Comosum,Chlorophytum comosum,"Ribbon Plant, Spider Plant, Spider Ivy",Liliaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/anthericum-comosum,TRUE,TRUE,FALSE,null
Antirrhinum Multiflorum,Antirrhinum multiflorum,Withered Snapdragon,Scrophulariaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/antirrhinum-multiflorum,TRUE,TRUE,TRUE,null
Antirrhinum Multiflorum,Antirrhinum glandulosum,Withered Snapdragon,Scrophulariaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/antirrhinum-multiflorum-0,TRUE,TRUE,TRUE,null
Apple,Malus sylvestrus,Includes crabapples,Rosaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/apple-r.jpg?itok=Fvvtk3yj,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/apple,FALSE,FALSE,FALSE,"Stems, leaves, seeds contain cyanide, particularly toxic in the process of wilting: brick red mucous membranes, dilated pupils, difficulty breathing, panting, shock."
Apricot,Prunus armeniaca,"Group also includes Plum, Peach, Cherry",Rosaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/apricot-r.jpg?itok=0DhmVE42,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/apricot,FALSE,FALSE,FALSE,"Stems, leaves, seeds contain cyanide, particularly toxic in the process of wilting: brick red mucous membranes, dilated pupils, difficulty breathing, panting, shock."
Arabian Gentian,Exacum affine,"Persian Violet, German Violet",,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/arabian-gentian,TRUE,TRUE,FALSE,null
Areca Palm,Dypsis lutescens,"Golden Butterfly Palm, Cane Palm, Golden Feather Palm, Yellow Palm",Palmae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/imageunavailable_0.jpg?itok=Vvd3ZEQt,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/areca-palm,TRUE,TRUE,FALSE,null
Aregelia,Neoregalia spp.,"Crimson cup, Marbled fingernail,Blushing bromeliad, Ossifragi Vase, Miniature Marble plant",Bromiliaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/aregelia,TRUE,TRUE,FALSE,null
Arrow-Head Vine,Syngonium podophyllum,"Nephthytis, Green Gold Naphthysis, African Evergreen, Trileaf Wonder",Araceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/arrow-head-vine-r.jpg?itok=JRFWHUqt,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/arrow-head-vine,FALSE,FALSE,FALSE,"Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing."
Artillery Plant,Pilea microphylla,,Urticaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/artillery-plant,TRUE,TRUE,TRUE,null
Arum,Arum maculatum,"Cuckoo-pint, Lord-and-Ladies, Adam-and-Eve, Starch Root, Bobbins, Wake Robin",Araceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/arum-r.jpg?itok=I6KyQVcY,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/arum,FALSE,FALSE,FALSE,"Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing"
Arum Lily,Zantedeschia aethiopica,"Calla Lily, Pig Lily, White Arum, Trumpet Lily, Florist's Calla, Garden Calla",Araceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/arum-lily-r.jpg?itok=G6nxjK_3,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/arum-lily,FALSE,FALSE,FALSE,"Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing"
Asian Lily,Lilium asiatica,Asiatic Lily,Liliaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/asian-lily-2-r.jpg?itok=3SJiXqMp,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/asian-lily,FALSE,FALSE,FALSE,"Vomiting, inappetence, lethargy, kidney failure, and death is possible. Cats are only species known to be affected."
Asparagus Fern,Asparagus densiflorus cv sprengeri,"Asparagus, Emerald Feather, Emerald Fern, Sprengeri Fern, Plumosa Fern, Lace Fern, Racemose Asparagus, Shatavari",Liliaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/asparagus-fern-r.jpg?itok=t-jWcv3E,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/asparagus-fern,FALSE,FALSE,FALSE,"allergic dermatitis with repeated dermal exposure. Berry ingestion could result in gastric upset (vomiting, abdominal pain, or diarrhea.)"
Aspidium falcatum,Cyrtomium falcatum,"Fern Holly, Japanese Holly, Fish Tail",Polypodiaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/fish-tail-fern-r.jpg?itok=8-9RC82C,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/aspidium-falcatum,TRUE,TRUE,FALSE,null
Australian Ivy Palm,Brassaia actinophylla,"Schefflera, Umbrella Tree, Octopus Tree, Starleaf",Araliaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/australian-ivy-palm-r.jpg?itok=3sh4iprI,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/australian-ivy-palm,FALSE,FALSE,FALSE,"While this plant does contain potentially toxic substances, the most common effects seen are mild vomiting and diarrhea."
Australian Nut,Macadamia integrifolia,"Macadamia Nut, Queensland Nut",Proteaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/macadamia-nut-r.jpg?itok=NzjVmw5J,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/australian-nut,FALSE,FALSE,FALSE,"Depression, hyperthermia, weakness, muscular stiffness, vomiting, tremors, increased heartrate. Only reported in dogs at this time."
Australian Pine,Araucaria heterophylla,"Norfolk Pine, House Pine, Norfolk Island Pine",Araucariaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/australian-pine-r.jpg?itok=xSD4jAE8,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/australian-pine,FALSE,FALSE,FALSE,"Vomiting, depression"
Autumn Crocus,Colchicum autumnale,Meadow Saffron,Liliaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/autumn-crocus-r.jpg?itok=SJgRHkFo,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/autumn-crocus,FALSE,FALSE,FALSE,"oral irritation, bloody vomiting, diarrhea, shock, multi-organ damage, bone marrow suppression."
Autumn Olive,Elaeagnus sp.,"Silver Berry, Russian Olive",Elaeagnaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/autumn-olive-r.jpg?itok=kRuEC1ji,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/autumn-olive,TRUE,TRUE,TRUE,null
Avocado,Persea americana,Alligator Pear,Lauraceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/avocado-r.jpg?itok=JZ7A0-5H,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/avocado,FALSE,FALSE,FALSE,"Birds, rabbits, and some large animals are especially sensitive to avocados, as they can have respiratory distress, congestion, fluid accumulation around the heart, and even death from consuming avocado. While avocado is toxic to some animals, in dogs and cats, we do not expect to see serious signs of illness. In some dogs and cats, mild stomach upset may occur if the animal eats a significant amount of avocado flesh or peel. Ingestion of the pit can lead to obstruction in the gastrointestinal tract, which is a serious situation requiring urgent veterinary care. Avocado is sometimes included in pet foods for nutritional benefit. We would generally not expect avocado meal or oil present in commercial pet foods to pose a hazard to dogs and cats."
Azalea,Rhododendron spp,"Rosebay, Rhododendron",Ericaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/azalea-r.jpg?itok=450nK4pc,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/azalea,FALSE,FALSE,FALSE,"Vomiting, diarrhea, hypersalivation, weakness, coma, hypotension, CNS depression, cardiovascular collapse and death. Ingestion of a few leaves can cause serious problems. Rhododendron is typically not very palatable to horses unless it is the only forage available, but sheep and goats may graze readily on the plant. The toxic principle interferes with normal skeletal muscle, cardiac muscle and nerve function. Clinical effects typically occur within a few hours after ingestion, and can include acute digestive upset, excessive drooling, loss of appetite, frequent bowel movements/diarrhea, colic, depression, weakness, loss of coordination, stupor, leg paralysis, weak heart rate and recumbency for 2 or more days; at this point, improvement may be seen or the animal may become comatose and die."
Baby Doll Ti Plant,Cordyline terminalis,"Ti-Plant, Good-Luck Plant, Hawaiian Ti Plant",Agavaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/baby-doll-ti-plant-r.jpg?itok=Il2S0xKa,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/baby-doll-ti-plant,FALSE,FALSE,FALSE,"Vomiting (occasionally with blood), depression, anorexia, hypersalivation, dilated pupils (cats)"
Baby Rubber Plant,Peperomia obtusifolia,"Pepper Face, American Rubber Plant",Pipericeae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/baby-rubber-plant,TRUE,TRUE,FALSE,null
Baby’s Breath,Gypsophila elegans,Maidens Breath,Caryophyllaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/babys-breath-r.jpg?itok=J37CJPSz,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/babys-breath,FALSE,FALSE,FALSE,"Vomiting, diarrhea"
Baby’s Tears,Hypoestes phyllostachya,"Polka Dot Plant, Measles Plant, Flamingo Plant, Freckle Face, Pink Splash",Acanthaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/babys-tears-r.jpg?itok=gKVHYRc3,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/babys-tears,TRUE,TRUE,TRUE,"Mild vomiting, diarrhea"
Bachelors Buttons,Centaurea cyanus,"Cornflower, Bluebottle",Asteraceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/bluebottle-r.jpg?itok=T2L82S-S,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/bachelors-buttons,TRUE,TRUE,FALSE,null
Ball Fern,Davallia spp.,"Rabbit's Foot Fern, Squirrel Foot Fern, Deer Foot Fern, Hare Fern",Polypodiaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/ball-fern,TRUE,TRUE,FALSE,null
Bamboo,Phyllostachys aurea,"Golden Bamboo, Fishpole Bamboo",Gramineae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/bamboo,TRUE,TRUE,TRUE,null
Bamboo Palm,Chamaedorea elegans,"Miniature Fish Tail Dwarf Palm, Parlor Palm, Good Luck Palm",Palmae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/good-luck-palm-r.jpg?itok=ntv9y8-g,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/bamboo-palm,TRUE,TRUE,FALSE,null
Bamboo Vine,Smilax laurifolia,"Blaspheme vine, Laurel-leaved Greenbrier",Liliaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/blaspheme-vine-r.jpg?itok=iutJYeCr,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/bamboo-vine,TRUE,TRUE,TRUE,null
Banana,Musa acuminata,Plantain,Musaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/banana-r.jpg?itok=EVDCwEtU,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/banana,TRUE,TRUE,TRUE,null
Banana Squash,Cucurbita maxima var. banana,,Cucurbitaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/banana-squash,TRUE,TRUE,TRUE,null
Barbados Aloe,Aloe barbadensis,"Medicine Plant, True Aloe",Aloaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/barbados-aloe-r.jpg?itok=VNt_q1pv,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/barbados-aloe,FALSE,FALSE,FALSE,"Vomiting, change in urine color (red)"
Barbados Lily,Hippeastrum spp.,"Amaryllis, Fire Lily, Lily of the Palace, Ridderstjerne",Amaryllidaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/barbados-lily-r.jpg?itok=SVpwywsB,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/barbados-lily,FALSE,FALSE,FALSE,"Vomiting, salvation, diarrhea; large ingestions cause convulsions, low blood pressure, tremors and cardiac arrhythmias. Bulbs are the most poisonous part."
Barbados Pride,Caesalpinia pulcherrima,"Peacock Flower, Dwarf Poinciana",null,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/peacock-flower-r.jpg?itok=XCQhK1ED,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/barbados-pride,FALSE,FALSE,FALSE,Vomiting and diarrhea.
Barbados Pride 2,Poinciana gilliesii,"Bird of Paradise, Poinciana, Brazilwood",Leguminosae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/bird-of-paradise-r.jpg?itok=_vf6ovrQ,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/barbados-pride-2,FALSE,FALSE,FALSE,"Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, diarrhea, difficulty swallowing and incoordination is possible. Deaths in rabbits have been reported."
Barberton Daisy,Gerbera jamesonii,"Transvaal Daisy, African Daisy, Veldt Daisy, Gerbera Daisy",Compositae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/african-daisy-r.jpg?itok=Q30Femx_,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/barberton-daisy,TRUE,TRUE,TRUE,null
Barnaby's Thistle,Centaurea solstitialis,Yellow Star Thistle,Compositae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/barnabys-thistle-r.jpg?itok=DK67_WUn,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/barnabys-thistle,FALSE,FALSE,FALSE,"The plant is not usually eaten unless other forage is unavailable, or when incorporated into hay. Poisonings occur at ingestions of 50%- 200% of the animal's body weight over a 60 to 90 day period of grazing. Clinical signs have been referred to as ""chewing disease"", where horses chew but are unable to obtain food or swallow. Signs seen include a grinning appearance, open mouth with protruding, lolling tongue, yawning, head tossing, central nervous system depression, lost interest in food, difficulty breathing due to inhalation of food, submerging the head in water in an attempt to drink. Death can occur due to lack of eating and drinking, leading to dehydration and malnutrition."
Bead Tree,Melia azedarach,"China Ball Tree, Paradise Tree, Persian Lilac, White Cedar, Japanese Bead Tree, Texas Umbrella Tree, Pride-of-India, Chinaberry Tree",Meliaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/bead-tree-r.jpg?itok=dQ4xzmpz,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/bead-tree,FALSE,FALSE,FALSE,"Diarrhea, vomiting, salivation, depression, weakness, and seizures. Ripe fruit (berries) most toxic but also bark, leaves, and flowers."
Beets,Beta vulgaris,"Beet Root, Red Beet, Swiss Chard, Roman Kale, Sugar Beet",Chenopodiaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/beets,TRUE,TRUE,TRUE,null
Begonia,Begonia spp.,"Over 1,000 species and 10,000 hybrids",Begoniaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/begonia-r.jpg?itok=5JuilbWr,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/begonia,FALSE,FALSE,FALSE,"Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing. Tubers are the most toxic."
